wiki_path,idx,column,source,old_cell,new_cell,status,hops,terminal_object,exhausted_reason
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,1,CID,Fact_SnapshotEquity.CID,Direct,Customer ID. Grouping key for all equity aggregations. FK to Dim_Customer (CID = RealCID). HASH distribution key and part of PK. (Tier 2 — SP_Fact_SnapshotEquity) (via Fact_SnapshotEquity),FOUND,2,Fact_SnapshotEquity,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,2,DateID,V_M2M_Date_DateRange.DateKey,Direct (alias DateKey → DateID),"Passthrough — no upstream semantic (chain: V_Liabilities.DateID -> V_M2M_Date_DateRange.DateKey, section_4_not_a_column_table:ETL & Data Pipeline)",EXHAUSTED,2,,section_4_not_a_column_table:ETL & Data Pipeline
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,3,FullDate,V_M2M_Date_DateRange.FullDate,Direct,"Passthrough — no upstream semantic (chain: V_Liabilities.FullDate -> V_M2M_Date_DateRange.FullDate, section_4_not_a_column_table:ETL & Data Pipeline)",EXHAUSTED,2,,section_4_not_a_column_table:ETL & Data Pipeline
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,4,RealizedEquity,Fact_SnapshotEquity.RealizedEquity,Direct,"Customer's **settled (realized) equity** — the realized portion of customer balance. **Excludes unrealized PnL on open positions** (the unrealized component is `Fact_CustomerUnrealized_PnL.PositionPnL`). Computed as `History.ActiveCredit.RealizedEquity` if non-zero, otherwise `TotalCash + TotalPositionsAmount + InProcessCashouts` (cash + invested principal in open positions + pending cashouts). Together with PositionPnL it sums to the customer's full `Balance` per V_Liabilities: `Balance = RealizedEquity + PositionPnL`. NOTE: the Confluence definition of **Unrealized Equity** (""the total funds in the account, including profit/loss from open positions … the Portfolio value figure represented on the platform is Unrealized equity"") describes `Balance` (= RealizedEquity + PositionPnL), **not RealizedEquity itself** — do not confuse the two. (Tier 2 — SP_Fact_SnapshotEquity) (via Fact_SnapshotEquity)",FOUND,2,Fact_SnapshotEquity,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,5,TotalPositionsAmount,Fact_SnapshotEquity.TotalPositionsAmount,Direct,"Sum of all open position amounts (NewAmount) for this CID on this date. Includes all asset classes: CFD, stocks, crypto, futures, margin. Source: open positions (Trade.OpenPositionEndOfDay) + same-day closed positions (History.ClosePositionEndOfDay) minus History.Credit CreditTypeID=13 adjustments. (Tier 2 — SP_Fact_SnapshotEquity_TotalPositionAmount) (via Fact_SnapshotEquity)",FOUND,2,Fact_SnapshotEquity,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,6,TotalCash,Fact_SnapshotEquity.TotalCash,Direct,Customer's total cash balance for the day. Computed as: previous day's TotalCash (from last row in current year) + sum of TotalCashChange from History.ActiveCredit for @dt. This running-balance approach was introduced 2020-06-07 replacing the direct History.Credit.TotalCash read. (Tier 2 — SP_Fact_SnapshotEquity) (via Fact_SnapshotEquity),FOUND,2,Fact_SnapshotEquity,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,7,InProcessCashouts,Fact_SnapshotEquity.InProcessCashouts,Direct,"Sum of pending withdrawal amounts for this CID that have not yet been finalized (statuses other than 3=Processed, 4=Cancelled, 5,6). Includes partially processed amounts for split-payment withdrawals plus associated fees. Computed by SP_Fact_SnapshotEquity_InProcessCashouts from Billing.Withdraw, History.WithdrawAction, and History.WithdrawToFundingAction. (Tier 2 — SP_Fact_SnapshotEquity_InProcessCashouts) (via Fact_SnapshotEquity)",FOUND,2,Fact_SnapshotEquity,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,8,TotalMirrorPositionsAmount,Fact_SnapshotEquity.TotalMirrorPositionsAmount,Direct,"Sum of position amounts where MirrorID > 0 AND ParentPositionID != 0 (copy-trading positions only, excluding the parent/guru's own positions). Represents the CID's total investment in copy relationships. (Tier 2 — SP_Fact_SnapshotEquity_TotalPositionAmount) (via Fact_SnapshotEquity)",FOUND,2,Fact_SnapshotEquity,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,9,TotalMirrorCash,Fact_SnapshotEquity.TotalMirrorCash,Direct,Cash available for copy-trading. Formula: TotalCash - Credit. (Tier 2 — SP_Fact_SnapshotEquity) (via Fact_SnapshotEquity),FOUND,2,Fact_SnapshotEquity,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,10,TotalStockOrders,Fact_SnapshotEquity.TotalStockOrders,Direct (legacy — always 0 since 2019),"Legacy column, hardcoded to 0. Removed 2019-03-03 (Boris Slutski) — no data in PROD since 2015. Kept for schema compatibility. (Tier 2 — SP_Fact_SnapshotEquity) (via Fact_SnapshotEquity); legacy — always 0 since 2019",FOUND,2,Fact_SnapshotEquity,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,11,TotalMirrorStockOrders,Fact_SnapshotEquity.TotalMirrorStockOrders,Direct (legacy — always 0 since 2019),"Legacy column, hardcoded to 0. Removed 2019-03-03 alongside TotalStockOrders. Kept for schema compatibility. (Tier 2 — SP_Fact_SnapshotEquity) (via Fact_SnapshotEquity); legacy — always 0 since 2019",FOUND,2,Fact_SnapshotEquity,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,12,Credit,Fact_SnapshotEquity.Credit,Direct,"Outstanding credit/bonus balance from History.ActiveCredit. Last credit event per CID per day (selected via ROW_NUMBER partition by CID, ordered by Occurred DESC, CreditID DESC). Negative values represent outstanding obligations. (Tier 2 — SP_Fact_SnapshotEquity) (via Fact_SnapshotEquity)",FOUND,2,Fact_SnapshotEquity,
